## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
cindr	FBgn0027598	rst	FBgn0003285	suppressible	FBrf0204348
aos	FBgn0004569	Diap2	FBgn0015247	suppressible	FBrf0103030
Nak	FBgn0015772	numb	FBgn0002973	enhanceable	FBrf0099990
Raf::tor	FBgn0013724	phyl	FBgn0013725	suppressible	FBrf0079990
numb	FBgn0002973	p53	FBgn0039044	suppressible	FBrf0216848
Tsc1|gig	FBgn0026317|FBgn0005198	Ras85D	FBgn0003205	enhanceable	FBrf0135684
Moe|puc	FBgn0011661|FBgn0243512	POSH	FBgn0040294	suppressible	FBrf0210554
gbb	FBgn0024234	scw	FBgn0005590	suppressible	FBrf0233838
Hsc70-5	FBgn0001220	Opa1	FBgn0261276	suppressible	FBrf0226194
Bx	FBgn0265598	pnr	FBgn0003117	enhanceable	FBrf0205811
Hrs|sta	FBgn0031450|FBgn0003517	rush	FBgn0025381	suppressible	FBrf0217308
cup	FBgn0000392	otu	FBgn0003023	suppressible	FBrf0093133
Nak	FBgn0015772	Nrg	FBgn0264975	enhanceable	FBrf0216477
z	FBgn0004050	e(y)3	FBgn0087008	enhanceable	FBrf0080045
mt:ATPase6	FBgn0013672	sesB	FBgn0003360	enhanceable	FBrf0191043
msl-2	FBgn0005616	msl-1	FBgn0005617	enhanceable	FBrf0160666
dsh	FBgn0000499	Dl	FBgn0000463	enhanceable	FBrf0106469
sc	FBgn0004170	su(Hw)	FBgn0003567	suppressible	FBrf0108187
hid	FBgn0003997	Diap1	FBgn0260635	suppressible	FBrf0125392
kto	FBgn0001324	skd	FBgn0003415	enhanceable	FBrf0160638
ash1|trx	FBgn0005386|FBgn0003862	mxc	FBgn0260789	suppressible	FBrf0129826
LamC	FBgn0010397	AMPKα	FBgn0023169	enhanceable	FBrf0241206
N	FBgn0004647	kis	FBgn0266557	enhanceable	FBrf0090844
Itpr	FBgn0010051	SERCA	FBgn0263006	suppressible	FBrf0194925
rpr	FBgn0011706	Drice	FBgn0019972	suppressible	FBrf0231218
Egfr	FBgn0003731	step	FBgn0086779	suppressible	FBrf0221826
caup	FBgn0015919	dap	FBgn0010316	enhanceable	FBrf0229449
dbo	FBgn0040230	Pak	FBgn0267698	suppressible	FBrf0233779
sd	FBgn0003345	ebi	FBgn0263933	enhanceable	FBrf0216882
corto	FBgn0010313	EloC	FBgn0266711	suppressible	FBrf0223250
Dl|Not3	FBgn0000463|FBgn0033029	CycB	FBgn0000405	suppressible	FBrf0239832
Pi3K92E	FBgn0015279	Akt	FBgn0010379	suppressible	FBrf0130065
smo	FBgn0003444	Hrs	FBgn0031450	enhanceable	FBrf0223342
puc	FBgn0243512	bsk	FBgn0000229	suppressible	FBrf0200469
shot	FBgn0013733	Khc	FBgn0001308	suppressible	FBrf0242585
Ptp69D	FBgn0014007	Ptp52F	FBgn0034085	enhanceable	FBrf0139642
csw	FBgn0000382	rl	FBgn0003256	suppressible	FBrf0129810
hid	FBgn0003997	pnut	FBgn0013726	suppressible	FBrf0174601
sog	FBgn0003463	mys	FBgn0004657	enhanceable	FBrf0160375
Dl	FBgn0000463	S	FBgn0003310	suppressible	FBrf0057610
sei	FBgn0003353	rut	FBgn0003301	suppressible	FBrf0212405
rumi	FBgn0086253	N	FBgn0004647	suppressible	FBrf0214548
w	FBgn0003996	Pcf11|Mow	FBgn0264962|FBgn0017571	suppressible	FBrf0104408
Pi3K92E	FBgn0015279	RpS21	FBgn0015521	enhanceable	FBrf0190712
Tace	FBgn0039734	bmm	FBgn0036449	suppressible	FBrf0246645
Myc	FBgn0262656	Atg18a	FBgn0035850	suppressible	FBrf0222430
ato	FBgn0010433	da	FBgn0267821	enhanceable	FBrf0207360
sli	FBgn0264089	capt	FBgn0261458	enhanceable	FBrf0152273
Fbxl7	FBgn0038385	wts	FBgn0011739	suppressible	FBrf0226098
bif	FBgn0014133	Amph	FBgn0027356	suppressible	FBrf0141500
Egfr	FBgn0003731	scrib	FBgn0263289	enhanceable	FBrf0190765
spz5|kek6	FBgn0035379|FBgn0039862	Vap33	FBgn0029687	suppressible	FBrf0236611
w	FBgn0003996	Mow	FBgn0017571	enhanceable	FBrf0086910
Pdfr	FBgn0260753	Nf1	FBgn0015269	suppressible	FBrf0238480
Pvr	FBgn0032006	tou	FBgn0033636	suppressible	FBrf0187664
Pi3K92E	FBgn0015279	ebi	FBgn0263933	enhanceable	FBrf0216882
Ras85D	FBgn0003205	Mi-2	FBgn0262519	enhanceable	FBrf0190765
spn-B	FBgn0003480	lok	FBgn0019686	suppressible	FBrf0151847
unk	FBgn0004395	Rheb	FBgn0041191	suppressible	FBrf0226218
Alk	FBgn0040505	cnk	FBgn0286070	suppressible	FBrf0237050
HDAC1|Snr1	FBgn0015805|FBgn0011715	brm	FBgn0000212	suppressible	FBrf0180290
mam	FBgn0002643	fz2	FBgn0016797	enhanceable	FBrf0111904
Dys	FBgn0260003	Dad	FBgn0020493	suppressible	FBrf0205440
Snoo	FBgn0085450	Mad	FBgn0011648	enhanceable	FBrf0193040
hid	FBgn0003997	Raf::tor	FBgn0013724	suppressible	FBrf0105197
Rho1	FBgn0014020	Parp	FBgn0010247	suppressible	FBrf0144942
lz	FBgn0002576	su(lz<up>34</up>)	FBgn0003568	suppressible	FBrf0158867
BRWD3	FBgn0011785	His3.3B	FBgn0004828	suppressible	FBrf0227972
stwl	FBgn0003459	grim	FBgn0015946	suppressible	FBrf0193692
esc	FBgn0000588	htt	FBgn0027655	enhanceable	FBrf0227101
Desat1	FBgn0086687	Sh	FBgn0003380	suppressible	FBrf0217343
Raf::tor	FBgn0013724	lilli	FBgn0041111	suppressible	FBrf0134581
rpr	FBgn0011706	mir-278	FBgn0262403	suppressible	FBrf0190751
Egfr	FBgn0003731	vn	FBgn0003984	enhanceable	FBrf0099460
RpS21	FBgn0015521	sta	FBgn0003517	enhanceable	FBrf0107375
CycG	FBgn0039858	corto	FBgn0010313	enhanceable	FBrf0205871
Hs3st-B	FBgn0031005	kuz	FBgn0259984	enhanceable	FBrf0199183
egr	FBgn0033483	Tab2	FBgn0086358	suppressible	FBrf0190722
hep	FBgn0010303	Cka	FBgn0044323	suppressible	FBrf0145123
E(spl)mγ-HLH	FBgn0002735	Su(Tpl)	FBgn0014037	suppressible	FBrf0235091
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	grnd	FBgn0032682	suppressible	FBrf0244419
Dad	FBgn0020493	Lpin	FBgn0263593	suppressible	FBrf0214664
Zyx	FBgn0011642	ena	FBgn0000578	enhanceable	FBrf0227860
sds22	FBgn0028992	zip	FBgn0287873	suppressible	FBrf0214488
wg	FBgn0284084	da	FBgn0267821	suppressible	FBrf0151912
tna	FBgn0026160	mor	FBgn0002783	enhanceable	FBrf0155711
Smox	FBgn0025800	Vha16-5	FBgn0032294	suppressible	FBrf0235445
csw	FBgn0000382	aos	FBgn0004569	enhanceable	FBrf0190828
peb	FBgn0003053	unch	FBgn0015559	suppressible	FBrf0180294
peb	FBgn0003053	ed	FBgn0000547	suppressible	FBrf0180294
Ser	FBgn0004197	Kap-α3	FBgn0027338	enhanceable	FBrf0222099
Pc	FBgn0003042	E(z)	FBgn0000629	enhanceable	FBrf0079925
Pc	FBgn0003042	Hsc70-4	FBgn0266599	suppressible	FBrf0135926
sax	FBgn0003317	fuss	FBgn0039932	suppressible	FBrf0219160
cwo	FBgn0259938	per	FBgn0003068	enhanceable	FBrf0204319
RhoGEF2	FBgn0023172	Ras85D	FBgn0003205	enhanceable	FBrf0221420
rpr	FBgn0011706	eff	FBgn0011217	suppressible	FBrf0149132
