## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
Pi3K92E	FBgn0015279	Pten	FBgn0026379	enhanceable	FBrf0127089
mbt	FBgn0025743	LIMK1	FBgn0283712	enhanceable	FBrf0195244
Ret	FBgn0011829	l(3)S046604	FBgn0084521	enhanceable	FBrf0190765
Myc	FBgn0262656	rept	FBgn0040075	enhanceable	FBrf0188250
Rac1	FBgn0010333	wit	FBgn0024179	suppressible	FBrf0210920
cnk	FBgn0286070	PDZ-GEF	FBgn0265778	enhanceable	FBrf0226731
baz	FBgn0000163	hook	FBgn0001202	enhanceable	FBrf0210449
Dl	FBgn0000463	net	FBgn0002931	enhanceable	FBrf0057610
aurA	FBgn0000147	Rok	FBgn0026181	suppressible	FBrf0221895
Dcp-1	FBgn0010501	br	FBgn0283451	enhanceable	FBrf0209948
wupA	FBgn0283471	Mhc	FBgn0264695	suppressible	FBrf0158994
Pi3K92E	FBgn0015279	hppy	FBgn0263395	enhanceable	FBrf0212911
N	FBgn0004647	klu	FBgn0013469	enhanceable	FBrf0218804
shot	FBgn0013733	Efa6	FBgn0051158	enhanceable	FBrf0244169
Rac1	FBgn0010333	trio	FBgn0024277	suppressible	FBrf0210920
sesB	FBgn0003360	shi	FBgn0003392	enhanceable	FBrf0179487
lap	FBgn0086372	CG32137	FBgn0052137	enhanceable	FBrf0194564
Pi3K92E	FBgn0015279	HDAC3	FBgn0025825	suppressible	FBrf0220745
CadN	FBgn0015609	uzip	FBgn0004055	enhanceable	FBrf0212620
Dp|E2f1	FBgn0011763|FBgn0011766	brm	FBgn0000212	enhanceable	FBrf0111491
w	FBgn0003996	Doa	FBgn0265998	enhanceable	FBrf0049635
wg	FBgn0284084	sv	FBgn0005561	enhanceable	FBrf0106272
Tctp	FBgn0037874	S6k	FBgn0283472	enhanceable	FBrf0192022
TrpA1	FBgn0035934	TkR86C	FBgn0004841	suppressible	FBrf0223835
Ras85D	FBgn0003205	Rab11	FBgn0015790	suppressible	FBrf0212078
w	FBgn0003996	Taf9	FBgn0000617	enhanceable	FBrf0108279
wg	FBgn0284084	nito	FBgn0027548	suppressible	FBrf0215879
egr	FBgn0033483	Uev1A	FBgn0035601	suppressible	FBrf0221969
hpo	FBgn0261456	yki	FBgn0034970	suppressible	FBrf0212502
Pink1	FBgn0029891	AGO1	FBgn0262739	suppressible	FBrf0229600
arm	FBgn0000117	da	FBgn0267821	suppressible	FBrf0151912
nej	FBgn0261617	kni	FBgn0001320	enhanceable	FBrf0190701
ksr::tor	FBgn0019804	EK2-5	FBgn0043590	enhanceable	FBrf0131405
hh	FBgn0004644	oro	FBgn0020263	enhanceable	FBrf0093093
BEAF-32	FBgn0015602	su(Hw)	FBgn0003567	enhanceable	FBrf0139613
H	FBgn0001169	Su(H)	FBgn0004837	enhanceable	FBrf0216786
Pink1	FBgn0029891	Opa1	FBgn0261276	suppressible	FBrf0207317
WASp	FBgn0024273	Arp3	FBgn0262716	enhanceable	FBrf0204821
enok	FBgn0034975	Dl::N	FBgn0013820	suppressible	FBrf0223167
S-Lap1	FBgn0035915	S-Lap3	FBgn0045770	enhanceable	FBrf0241579
Dl	FBgn0000463	lqf	FBgn0028582	enhanceable	FBrf0180177
vg	FBgn0003975	1297	FBgn0084118	enhanceable	FBrf0187637
fz2	FBgn0016797	fz	FBgn0001085	enhanceable	FBrf0111835
robo1	FBgn0005631	Abl	FBgn0000017	enhanceable	FBrf0152273
fz	FBgn0001085	sty	FBgn0014388	enhanceable	FBrf0162001
Pp2B-14D	FBgn0011826	CS3-2	FBgn0063597	suppressible	FBrf0149012
Src64B	FBgn0262733	Btk29A	FBgn0003502	suppressible	FBrf0224738
Fcp1	FBgn0035026	p53	FBgn0039044	enhanceable	FBrf0207542
rho	FBgn0004635	shrb	FBgn0086656	suppressible	FBrf0215049
L	FBgn0267825	wg	FBgn0284084	suppressible	FBrf0192707
RanGAP	FBgn0003346	Rcc1	FBgn0002638	suppressible	FBrf0141452
Pink1	FBgn0029891	gfzf	FBgn0250732	suppressible	FBrf0242834
y	FBgn0004034	ph-p	FBgn0004861	enhanceable	FBrf0109352
vn	FBgn0003984	Ubx	FBgn0003944	enhanceable	FBrf0195051
hid	FBgn0003997	JMJD6	FBgn0038948	enhanceable	FBrf0200497
Pten	FBgn0026379	Egfr	FBgn0003731	enhanceable	FBrf0206710
L	FBgn0267825	aop	FBgn0000097	enhanceable	FBrf0187660
fz	FBgn0001085	Vang	FBgn0015838	enhanceable	FBrf0104520
Ret	FBgn0011829	neur	FBgn0002932	enhanceable	FBrf0190765
pic	FBgn0260962	gig	FBgn0005198	suppressible	FBrf0204363
Slik	FBgn0035001	rhea	FBgn0260442	suppressible	FBrf0243607
Dl	FBgn0000463	upd1	FBgn0004956	suppressible	FBrf0187397
Syx7	FBgn0267849	bsk	FBgn0000229	suppressible	FBrf0228803
ref(2)P	FBgn0003231	Su(P)	FBgn0004465	suppressible	FBrf0137024
smo	FBgn0003444	cos	FBgn0000352	suppressible	FBrf0160613
Bx|ap	FBgn0265598|FBgn0267978	osa	FBgn0261885	suppressible	FBrf0202749
tll	FBgn0003720	erm	FBgn0031375	enhanceable	FBrf0242988
lncRNA:roX1	FBgn0019661	Elp1	FBgn0037926	enhanceable	FBrf0218921
N	FBgn0004647	Su(dx)	FBgn0003557	enhanceable	FBrf0105825
mei-41	FBgn0004367	aurA	FBgn0000147	enhanceable	FBrf0241545
v	FBgn0003965	su(sable)	FBgn0003575	suppressible	FBrf0049919
Rala	FBgn0015286	Exo70	FBgn0266667	enhanceable	FBrf0194568
N	FBgn0004647	numb	FBgn0002973	suppressible	FBrf0160590
ex	FBgn0004583	hpo	FBgn0261456	suppressible	FBrf0191261
norpA	FBgn0262738	ninaE	FBgn0002940	suppressible	FBrf0219077
Raf	FBgn0003079	rl	FBgn0003256	suppressible	FBrf0068431
brk	FBgn0024250	Abd-B	FBgn0000015	suppressible	FBrf0215200
Rbf	FBgn0015799	mir-998	FBgn0262405	suppressible	FBrf0225736
CadN	FBgn0015609	Sema1a	FBgn0011259	enhanceable	FBrf0220633
Ctr1B	FBgn0062412	park	FBgn0041100	suppressible	FBrf0211570
puc	FBgn0243512	wg	FBgn0284084	suppressible	FBrf0228026
w	FBgn0003996	Dcr-1	FBgn0039016	suppressible	FBrf0218153
futsch	FBgn0259108	spartin	FBgn0037265	suppressible	FBrf0220896
Cad99C	FBgn0039709	Prtl99C	FBgn0039707	suppressible	FBrf0230461
Tudor-SN	FBgn0035121	piwi	FBgn0004872	suppressible	FBrf0230771
sl	FBgn0003416	Rack1	FBgn0020618	enhanceable	FBrf0216849
bam	FBgn0000158	eIF4A	FBgn0001942	suppressible	FBrf0208488
Sin3A	FBgn0022764	Csk	FBgn0262081	enhanceable	FBrf0221983
InR	FBgn0283499	foxo	FBgn0038197	suppressible	FBrf0215229
Ras85D	FBgn0003205	wgn	FBgn0030941	suppressible	FBrf0209242
fz	FBgn0001085	dsh	FBgn0000499	suppressible	FBrf0179518
vn	FBgn0003984	spi	FBgn0005672	enhanceable	FBrf0106043
Atg13	FBgn0261108	Atg1	FBgn0260945	suppressible	FBrf0207848
tant	FBgn0028980	Asx	FBgn0261823	suppressible	FBrf0136850
sax	FBgn0003317	gbb	FBgn0024234	suppressible	FBrf0194511
Pink1	FBgn0029891	TER94	FBgn0286784	suppressible	FBrf0221255
smo	FBgn0003444	cos	FBgn0000352	enhanceable	FBrf0190897
Kr	FBgn0001325	chinmo	FBgn0086758	enhanceable	FBrf0129693
Dcr-2|Arf51F	FBgn0034246|FBgn0013750	Asap	FBgn0050372	enhanceable	FBrf0216708
sev	FBgn0003366	dos	FBgn0016794	suppressible	FBrf0126713
puc	FBgn0243512	Atg6	FBgn0264325	suppressible	FBrf0208613
Tm1	FBgn0003721	osk	FBgn0003015	enhanceable	FBrf0137253
Rbf	FBgn0015799	S6k	FBgn0283472	suppressible	FBrf0211700
Raf::tor	FBgn0013724	rl	FBgn0003256	suppressible	FBrf0086382
Ras85D	FBgn0003205	Apc|Med|Pten|p53	FBgn0015589|FBgn0011655|FBgn0026379|FBgn0039044	enhanceable	FBrf0234055
Pink1	FBgn0029891	Opa1	FBgn0261276	suppressible	FBrf0202793
Dl|lola|psq	FBgn0000463|FBgn0283521|FBgn0263102	Not3	FBgn0033029	suppressible	FBrf0239832
mir-9a	FBgn0262373	Bx	FBgn0265598	suppressible	FBrf0209786
stan	FBgn0024836	bdg	FBgn0034049	enhanceable	FBrf0202327
L	FBgn0267825	wg	FBgn0284084	enhanceable	FBrf0192707
aos	FBgn0004569	cln	FBgn0015922	suppressible	FBrf0082770
bun	FBgn0259176	S	FBgn0003310	enhanceable	FBrf0084455
E2f1	FBgn0011766	esc	FBgn0000588	suppressible	FBrf0220353
H	FBgn0001169	Rga	FBgn0017550	enhanceable	FBrf0190751
pnr	FBgn0003117	HDAC1	FBgn0015805	enhanceable	FBrf0207210
baz	FBgn0000163	fj	FBgn0000658	enhanceable	FBrf0210449
Diap1	FBgn0260635	Dark	FBgn0263864	suppressible	FBrf0236959
N	FBgn0004647	SERCA	FBgn0263006	enhanceable	FBrf0112004
bw	FBgn0000241	Mod(Prat:bw)2-4	FBgn0067879	suppressible	FBrf0162143
verm	FBgn0261341	serp	FBgn0260653	enhanceable	FBrf0190029
Wnt5	FBgn0010194	Drl-2	FBgn0033791	suppressible	FBrf0207647
Roc1b	FBgn0040291	Roc1a::Roc1b	FBgn0264259	suppressible	FBrf0205823
aos	FBgn0004569	ebi	FBgn0263933	enhanceable	FBrf0190712
Fancm	FBgn0038889	mus81|slx1	FBgn0040347|FBgn0037263	suppressible	FBrf0226672
Ppt1	FBgn0030057	faf	FBgn0005632	enhanceable	FBrf0201672
ksr::tor	FBgn0019804	alph	FBgn0086361	suppressible	FBrf0131405
Rbf	FBgn0015799	bsk	FBgn0000229	suppressible	FBrf0225787
pnut	FBgn0013726	Diap1	FBgn0260635	suppressible	FBrf0238801
tna	FBgn0026160	tara	FBgn0040071	enhanceable	FBrf0155711
Nsf2	FBgn0266464	Ubi-p5E	FBgn0086558	suppressible	FBrf0187645
cindr	FBgn0027598	Herc4	FBgn0035207	suppressible	FBrf0237191
spn-D	FBgn0003482	mei-W68	FBgn0002716	suppressible	FBrf0162153
RhoGAPp190	FBgn0026375	Src64B	FBgn0262733	suppressible	FBrf0139610
so	FBgn0003460	fl(2)d	FBgn0000662	suppressible	FBrf0224768
pbl	FBgn0003041	apt	FBgn0015903	enhanceable	FBrf0199094
HDAC1	FBgn0015805	Sirt1	FBgn0024291	suppressible	FBrf0180651
N	FBgn0004647	bun	FBgn0259176	suppressible	FBrf0230220
Pi3K92E	FBgn0015279	Pten	FBgn0026379	suppressible	FBrf0123020
Raf::tor	FBgn0013724	Src42A	FBgn0264959	enhanceable	FBrf0107862
Dhpr	FBgn0035964	Drp1	FBgn0026479	enhanceable	FBrf0243587
sca	FBgn0003326	nmo	FBgn0011817	suppressible	FBrf0155677
ph-p|Pc	FBgn0004861|FBgn0003042	eff	FBgn0011217	enhanceable	FBrf0058522
dan	FBgn0039286	CtBP	FBgn0020496	suppressible	FBrf0211770
Jafrac2	FBgn0040308	Diap1	FBgn0260635	suppressible	FBrf0151953
awd	FBgn0000150	Pu	FBgn0003162	enhanceable	FBrf0200509
Ephrin	FBgn0040324	Eph	FBgn0025936	suppressible	FBrf0190278
pAbp	FBgn0265297	Paip2	FBgn0038100	enhanceable	FBrf0167891
E(z)	FBgn0000629	Asx	FBgn0261823	suppressible	FBrf0141551
tkv	FBgn0003716	Mad	FBgn0011648	suppressible	FBrf0089932
ey|hh	FBgn0005558|FBgn0004644	dpp	FBgn0000490	enhanceable	FBrf0158852
btl::Egfr	FBgn0022739	smt3	FBgn0264922	suppressible	FBrf0139680
Iswi	FBgn0011604	lncRNA:Hsrω	FBgn0001234	suppressible	FBrf0213856
Tm1|osk	FBgn0003721|FBgn0003015	E(To)1	FBgn0046125	enhanceable	FBrf0137253
ct	FBgn0004198	Scm	FBgn0003334	suppressible	FBrf0090696
Myc	FBgn0262656	Kdm5	FBgn0031759	enhanceable	FBrf0212448
stan	FBgn0024836	grh	FBgn0259211	enhanceable	FBrf0167844
CycE	FBgn0010382	drk	FBgn0004638	enhanceable	FBrf0180291
y	FBgn0004034	su(sable)	FBgn0003575	suppressible	FBrf0055001
Rac2	FBgn0014011	mbc	FBgn0015513	suppressible	FBrf0105287
vn	FBgn0003984	aos	FBgn0004569	suppressible	FBrf0179189
Gug	FBgn0010825	Atg1	FBgn0260945	enhanceable	FBrf0212035
cyst	FBgn0032796	l(2)gl	FBgn0002121	suppressible	FBrf0243727
N	FBgn0004647	Taf9	FBgn0000617	enhanceable	FBrf0226060
Dl	FBgn0000463	E(Dl)9P39.3	FBgn0010020	enhanceable	FBrf0057610
stumps	FBgn0020299	Ras85D	FBgn0003205	suppressible	FBrf0108206
Rac1	FBgn0010333	trio	FBgn0024277	suppressible	FBrf0127003
ari-1	FBgn0017418	park	FBgn0041100	enhanceable	FBrf0238699
Ubx	FBgn0003944	drl	FBgn0015380	enhanceable	FBrf0195051
Raf	FBgn0003079	mts	FBgn0004177	suppressible	FBrf0087493
Rho1	FBgn0014020	capu	FBgn0000256	enhanceable	FBrf0111959
w	FBgn0003996	Pcf11|Low	FBgn0264962|FBgn0011646	suppressible	FBrf0104408
mi	FBgn0261786	l(2)dtl	FBgn0013548	suppressible	FBrf0217517
Mef2	FBgn0011656	br	FBgn0283451	enhanceable	FBrf0190139
Hem	FBgn0011771	SCAR	FBgn0041781	suppressible	FBrf0214765
PsGEF	FBgn0264598	Rac1	FBgn0010333	enhanceable	FBrf0207977
Gk1	FBgn0025592	ry	FBgn0003308	enhanceable	FBrf0217823
tor	FBgn0003733	Hsp83	FBgn0001233	suppressible	FBrf0158996
Kr	FBgn0001325	l(3)neo3	FBgn0011447	suppressible	FBrf0104417
HDAC1	FBgn0015805	pros	FBgn0004595	suppressible	FBrf0211359
Hipk	FBgn0035142	spen	FBgn0016977	suppressible	FBrf0226612
trx|brm	FBgn0003862|FBgn0000212	lawc	FBgn0262976	enhanceable	FBrf0111197
Graf	FBgn0030685	Egfr	FBgn0003731	suppressible	FBrf0237228
foxo	FBgn0038197	Cln3	FBgn0036756	enhanceable	FBrf0213533
D	FBgn0000411	vvl	FBgn0086680	enhanceable	FBrf0104903
Raf	FBgn0003079	Rac1	FBgn0010333	suppressible	FBrf0131402
Dl	FBgn0000463	Snr1	FBgn0011715	enhanceable	FBrf0174517
prd1	FBgn0037949	Nrg	FBgn0264975	suppressible	FBrf0240010
Hrs	FBgn0031450	Rbf	FBgn0015799	enhanceable	FBrf0232331
Vap33	FBgn0029687	tkv	FBgn0003716	suppressible	FBrf0210268
pwn|stan	FBgn0003174|FBgn0024836	fz	FBgn0001085	suppressible	FBrf0180148
CanB|Pp2B-14D	FBgn0010014|FBgn0011826	sl	FBgn0003416	suppressible	FBrf0149012
Pvr	FBgn0032006	bsk	FBgn0000229	enhanceable	FBrf0180198
p53	FBgn0039044	dap	FBgn0010316	suppressible	FBrf0210741
clu	FBgn0034087	park	FBgn0041100	suppressible	FBrf0233735
spin	FBgn0086676	sax	FBgn0003317	suppressible	FBrf0156011
pall	FBgn0036005	Rac2	FBgn0014011	suppressible	FBrf0227703
dpp	FBgn0000490	vri	FBgn0016076	enhanceable	FBrf0094777
l(3)S033513	FBgn0082188	Kap-α3	FBgn0027338	suppressible	FBrf0128570
dl	FBgn0260632	bai	FBgn0045866	suppressible	FBrf0179736
gogo	FBgn0052227	InR	FBgn0283499	suppressible	FBrf0217291
CycE	FBgn0010382	S(CycE<up>JP</up>)2.10	FBgn0082635	suppressible	FBrf0180291
Ras85D	FBgn0003205	EM3-1	FBgn0041635	enhanceable	FBrf0127348
per	FBgn0003068	tim	FBgn0014396	suppressible	FBrf0244295
Fak	FBgn0020440	mys	FBgn0004657	enhanceable	FBrf0180176
Osbp	FBgn0020626	Rab11	FBgn0015790	suppressible	FBrf0217992
Ppt1	FBgn0030057	foi	FBgn0024236	enhanceable	FBrf0211567
Ras85D	FBgn0003205	Raf	FBgn0003079	suppressible	FBrf0074056
Pc|su(Hw)|w	FBgn0003042|FBgn0003567|FBgn0003996	ph-p	FBgn0004861	suppressible	FBrf0135809
ebi	FBgn0263933	Dcr-2	FBgn0034246	enhanceable	FBrf0200691
Cp16	FBgn0000356	ttk	FBgn0003870	enhanceable	FBrf0221577
Ras85D	FBgn0003205	rl	FBgn0003256	suppressible	FBrf0214698
l(1)sc	FBgn0002561	E(spl)m8-HLH	FBgn0000591	suppressible	FBrf0093462
sky	FBgn0032901	shrb	FBgn0086656	suppressible	FBrf0213384
Rho1	FBgn0014020	pbl	FBgn0003041	suppressible	FBrf0111464
hid	FBgn0003997	Drice	FBgn0019972	suppressible	FBrf0231218
ct	FBgn0004198	fs(1)h	FBgn0004656	suppressible	FBrf0226135
y	FBgn0004034	su(Hw)	FBgn0003567	suppressible	FBrf0057277
rdgC	FBgn0265959	shi	FBgn0003392	suppressible	FBrf0131331
shi	FBgn0003392	awd	FBgn0000150	enhanceable	FBrf0135909
rpr	FBgn0011706	Dronc	FBgn0026404	suppressible	FBrf0187988
ato	FBgn0010433	sc	FBgn0004170	suppressible	FBrf0128660
vg	FBgn0003975	P\T	FBgn0013311	suppressible	FBrf0192845
htl	FBgn0010389	Ntan1	FBgn0034371	enhanceable	FBrf0239793
hb	FBgn0001180	ftz	FBgn0001077	enhanceable	FBrf0046027
HDAC3|Snr1	FBgn0025825|FBgn0011715	brm	FBgn0000212	suppressible	FBrf0180290
fz	FBgn0001085	fz::fz2	FBgn0042640	suppressible	FBrf0130057
Pink1	FBgn0029891	rictor	FBgn0031006	enhanceable	FBrf0220987
fu	FBgn0001079	Su(fu)	FBgn0005355	suppressible	FBrf0065539
dj-1β	FBgn0039802	Daxx	FBgn0031820	suppressible	FBrf0221314
Rbf	FBgn0015799	rpr	FBgn0011706	suppressible	FBrf0205772
eas	FBgn0000536	para	FBgn0285944	suppressible	FBrf0202966
egr	FBgn0033483	bsk	FBgn0000229	suppressible	FBrf0190722
ct	FBgn0004198	brm	FBgn0000212	enhanceable	FBrf0187644
sli	FBgn0264089	vkg	FBgn0016075	enhanceable	FBrf0190142
frtz	FBgn0086698	frtz::pk	FBgn0285960	suppressible	FBrf0235210
w	FBgn0003996	Pcf11	FBgn0264962	suppressible	FBrf0054158
futsch	FBgn0259108	Ank2	FBgn0261788	suppressible	FBrf0228028
kn	FBgn0001319	Egfr	FBgn0003731	suppressible	FBrf0052884
Wdr24	FBgn0027518	Nprl2	FBgn0030800	suppressible	FBrf0232362
Abl	FBgn0000017	eya	FBgn0000320	enhanceable	FBrf0206726
Idh	FBgn0001248	Diap1	FBgn0260635	suppressible	FBrf0227214
Pdk1	FBgn0020386	Akt	FBgn0010379	enhanceable	FBrf0137097
Pvr	FBgn0032006	lilli	FBgn0041111	enhanceable	FBrf0187664
ZnT86D	FBgn0037875	ZnT35C	FBgn0028516	suppressible	FBrf0227521
Ote	FBgn0266420	Diap1	FBgn0260635	suppressible	FBrf0240931
Marcal1	FBgn0031655	Asx	FBgn0261823	suppressible	FBrf0234417
dpy	FBgn0053196	su(dpy<up>ov</up>)	FBgn0003555	suppressible	FBrf0050051
sick	FBgn0263873	tsr	FBgn0011726	suppressible	FBrf0226907
fra	FBgn0011592	trio	FBgn0024277	enhanceable	FBrf0183931
Pc	FBgn0003042	trx	FBgn0003862	suppressible	FBrf0048952
kni	FBgn0001320	neb	FBgn0004374	suppressible	FBrf0099905
Ilp8	FBgn0036690	Lgr3	FBgn0039354	suppressible	FBrf0233727
drl	FBgn0015380	Drl-2	FBgn0033791	enhanceable	FBrf0207647
armi	FBgn0041164	lok	FBgn0019686	suppressible	FBrf0226336
DCTN1-p150	FBgn0001108	EG162	FBgn0262061	enhanceable	FBrf0209456
Dronc	FBgn0026404	Diap1	FBgn0260635	enhanceable	FBrf0149134
Pc	FBgn0003042	lawc	FBgn0262976	suppressible	FBrf0111197
qm	FBgn0019662	Hmgcr	FBgn0263782	enhanceable	FBrf0174539
trol	FBgn0284408	eve	FBgn0000606	enhanceable	FBrf0135737
erm	FBgn0031375	dpn	FBgn0010109	enhanceable	FBrf0224828
Rheb	FBgn0041191	Pten	FBgn0026379	suppressible	FBrf0160980
Abl	FBgn0000017	msps	FBgn0027948	suppressible	FBrf0211499
RacGAP84C	FBgn0045843	bchs	FBgn0043362	enhanceable	FBrf0179402
Ras85D	FBgn0003205	emei	FBgn0036133	enhanceable	FBrf0246782
Egfr	FBgn0003731	Sos	FBgn0001965	suppressible	FBrf0058535
H	FBgn0001169	klu	FBgn0013469	suppressible	FBrf0190751
Dcp-1	FBgn0010501	br	FBgn0283451	suppressible	FBrf0209948
ct	FBgn0004198	mod(mdg4)	FBgn0002781	suppressible	FBrf0193462
N	FBgn0004647	fru	FBgn0004652	suppressible	FBrf0220483
pbl	FBgn0003041	sca	FBgn0003326	suppressible	FBrf0199094
Ras85D	FBgn0003205	Apc|Pten|p53	FBgn0015589|FBgn0026379|FBgn0039044	enhanceable	FBrf0234055
arm|aPKC	FBgn0000117|FBgn0261854	sgg	FBgn0003371	enhanceable	FBrf0213424
NFAT	FBgn0030505	CycE	FBgn0010382	suppressible	FBrf0152035
mira	FBgn0021776	shot	FBgn0013733	suppressible	FBrf0214626
Pink1	FBgn0029891	Dhpr	FBgn0035964	enhanceable	FBrf0243587
DCTN1-p150	FBgn0001108	EG165	FBgn0262064	enhanceable	FBrf0209456
Asx	FBgn0261823	trx	FBgn0003862	enhanceable	FBrf0108941
MAGE	FBgn0037481	tefu	FBgn0045035	enhanceable	FBrf0221151
elav	FBgn0260400	elav::Rbp9	FBgn0042647	suppressible	FBrf0129947
pnr	FBgn0003117	CG8051	FBgn0031012	suppressible	FBrf0147055
Pink1	FBgn0029891	HtrA2	FBgn0038233	enhanceable	FBrf0206493
flw	FBgn0000711	N	FBgn0004647	suppressible	FBrf0213586
kek6	FBgn0039862	CaMKII	FBgn0264607	suppressible	FBrf0236611
Egfr	FBgn0003731	Pp1-87B	FBgn0004103	enhanceable	FBrf0190765
kibra	FBgn0262127	ex	FBgn0004583	suppressible	FBrf0235878
Nsf2	FBgn0266464	GS2285	FBgn0086288	suppressible	FBrf0187645
H	FBgn0001169	lap	FBgn0086372	enhanceable	FBrf0190751
exp	FBgn0033668	Egfr	FBgn0003731	enhanceable	FBrf0225894
hpo	FBgn0261456	brm	FBgn0000212	suppressible	FBrf0223022
Dg	FBgn0034072	wg	FBgn0284084	enhanceable	FBrf0205440
Src42A	FBgn0264959	Egfr	FBgn0003731	suppressible	FBrf0107534
RIOK2	FBgn0039306	p53	FBgn0039044	suppressible	FBrf0226756
if	FBgn0001250	sli	FBgn0264089	suppressible	FBrf0064744
msl-1|msl-2	FBgn0005617|FBgn0005616	lncRNA:roX1	FBgn0019661	suppressible	FBrf0187980
N	FBgn0004647	N::Mmus\Notch1	FBgn0063909	suppressible	FBrf0149095
egr	FBgn0033483	Mkk4	FBgn0024326	suppressible	FBrf0209260
ap	FBgn0267978	fng	FBgn0011591	suppressible	FBrf0138371
Ras85D	FBgn0003205	twi	FBgn0003900	enhanceable	FBrf0131308
w	FBgn0003996	su(w<up>a</up>)	FBgn0003638	suppressible	FBrf0048200
MTF-1	FBgn0040305	MtnA|MtnB|MtnC|MtnD	FBgn0002868|FBgn0002869|FBgn0038790|FBgn0053192	enhanceable	FBrf0217154
if	FBgn0001250	msk	FBgn0026252	suppressible	FBrf0152039
spoon	FBgn0263987	larp	FBgn0261618	suppressible	FBrf0241857
CycE	FBgn0010382	S(CycE<up>JP</up>)2.9	FBgn0082629	suppressible	FBrf0180291
Mer	FBgn0086384	bs	FBgn0004101	enhanceable	FBrf0136951
Pka-R2	FBgn0022382	CycE	FBgn0010382	suppressible	FBrf0152035
slbo	FBgn0005638	jing	FBgn0086655	suppressible	FBrf0132297
Ras85D	FBgn0003205	spen	FBgn0016977	suppressible	FBrf0125429
PGRP-LC	FBgn0035976	TM9SF4	FBgn0028541	suppressible	FBrf0227121
L	FBgn0267825	hyx	FBgn0037657	suppressible	FBrf0211791
grim	FBgn0015946	rpr	FBgn0011706	enhanceable	FBrf0105960
Ras85D|scrib	FBgn0003205|FBgn0263289	Prat	FBgn0004901	suppressible	FBrf0221096
ci|hpo	FBgn0004859|FBgn0261456	wts	FBgn0011739	suppressible	FBrf0229775
Dad1	FBgn0263852	Mekk1	FBgn0024329	suppressible	FBrf0234005
Syx1A	FBgn0013343	Act42A	FBgn0000043	suppressible	FBrf0188513
foxo	FBgn0038197	Akt	FBgn0010379	suppressible	FBrf0206002
Scr	FBgn0003339	pb	FBgn0051481	suppressible	FBrf0108257
mahe	FBgn0029979	dx	FBgn0000524	suppressible	FBrf0230136
Dref	FBgn0015664	l(1)G0196	FBgn0027279	enhanceable	FBrf0207590
Dys	FBgn0260003	Nrk	FBgn0020391	suppressible	FBrf0205440
Stoml2	FBgn0034936	park	FBgn0041100	suppressible	FBrf0236503
csw	FBgn0000382	mago	FBgn0002736	enhanceable	FBrf0212064
Ras85D|scrib	FBgn0003205|FBgn0263289	Sec15	FBgn0266674	suppressible	FBrf0226906
pnr	FBgn0003117	EP639	FBgn0043454	enhanceable	FBrf0147055
meigo	FBgn0250820	Eph	FBgn0025936	enhanceable	FBrf0221674
tkv	FBgn0003716	p38b	FBgn0024846	suppressible	FBrf0106118
Bx	FBgn0265598	osa	FBgn0261885	suppressible	FBrf0179340
upd1	FBgn0004956	Ssdp	FBgn0011481	suppressible	FBrf0190752
Skp2	FBgn0037236	CycE	FBgn0010382	suppressible	FBrf0221694
Sec71	FBgn0028538	Nrg	FBgn0264975	suppressible	FBrf0235566
clu	FBgn0034087	park	FBgn0041100	enhanceable	FBrf0228603
Rac1	FBgn0010333	Frl	FBgn0267795	enhanceable	FBrf0231241
H	FBgn0001169	net	FBgn0002931	enhanceable	FBrf0149093
N	FBgn0004647	E(spl)mδ-HLH	FBgn0002734	suppressible	FBrf0108430
prel	FBgn0033413	PEK	FBgn0037327	suppressible	FBrf0234947
Hers	FBgn0052529	Su(var)3-9	FBgn0263755	enhanceable	FBrf0217607
norpA	FBgn0262738	Arr2	FBgn0000121	suppressible	FBrf0191981
CycE	FBgn0010382	wg	FBgn0284084	suppressible	FBrf0180291
Pink1	FBgn0029891	Ucp4C	FBgn0031757	suppressible	FBrf0226914
Sos|Dsor1	FBgn0001965|FBgn0010269	cln	FBgn0015922	enhanceable	FBrf0127348
shg	FBgn0003391	AGO1	FBgn0262739	suppressible	FBrf0135779
Snr1	FBgn0011715	Cdk2	FBgn0004107	suppressible	FBrf0180290
ed	FBgn0000547	Nrg	FBgn0264975	suppressible	FBrf0158885
pbl	FBgn0003041	aurA	FBgn0000147	suppressible	FBrf0199094
b	FBgn0000153	r	FBgn0003189	suppressible	FBrf0045894
mir-285	FBgn0262401	mask	FBgn0043884	suppressible	FBrf0235164
Raf::tor	FBgn0013724	TfIIA-S	FBgn0013347	suppressible	FBrf0086204
ham	FBgn0045852	Su(H)	FBgn0004837	enhanceable	FBrf0217319
Nrt	FBgn0004108	Nrg	FBgn0264975	enhanceable	FBrf0100805
Atg1	FBgn0260945	Wdr33	FBgn0046222	suppressible	FBrf0238799
polo	FBgn0003124	Cdc27	FBgn0012058	enhanceable	FBrf0162197
gbb	FBgn0024234	sog	FBgn0003463	suppressible	FBrf0127408
