"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"02104476719f02b32307edfdb1e6a0c4"	2.94987993973188	4.05511539569976	3.15938650834875	4.57939011733164	3.01783572522462	4.31373579407254	3.30787314272307	4.55316009702292	4.14096630443908	4.57226186264174
"02266378f920e88e1dac1ed916c48ff6"	2.21592858941588	3.90426235060608	2.23806192196339	3.65899638268909	2.44947026505809	4.15304951565973	2.062851291829	3.99523740970894	3.88984021263474	4.10667978853438
"022b87e073ba519506a6d0d9dac1bba1"	4.63657776362763	5.03730319030116	3.97885477007166	5.56181606422586	3.90531254053666	6.18438858179696	4.46574755404064	5.91864627524089	5.78837364085251	6.0512635481934
"02556710e6071f6303dfb662fc79f6b6"	2.23520520566273	3.21925095449828	3.11373128588573	4.13664769930895	2.01407814709435	4.00296511362851	3.43612092648045	4.04271170141647	3.7795267796906	4.24717219578093
"026f6d9d6a5c591d5465aaeddf6222f1"	1.31025898308118	3.10933623904686	1.82169994597264	3.12205410304926	1.54661397389268	3.67762334109819	2.49084100660952	3.74346460439372	3.30445884891394	3.52997234706667
"027ee5073ec17a7192c3036f2b817f18"	1.63166113713089	1.28017800433056	1.38223111731409	2.15429155987785	2.74214670003937	4.34601629077417	3.08419772659679	4.21075584577275	4.18989048620897	4.48297715455283
"02a63d174c8502c109303db99cf1e437"	3.2130500881697	4.02021243593052	3.62807262819934	4.4652428399345	3.49227924076528	4.89518086512965	3.05668888731382	4.94771514624146	4.57039528753887	4.95492315624774
"02adf979cb3500c39977fffbf7d2a048"	3.23446794073169	4.29300053864824	2.72331674818023	3.94402409891757	2.96912909164052	4.36374907466354	2.18567079814631	4.01136995702616	3.91774694375205	3.9664401718914
"02c00510d4deae8d414f84d4af078919"	1.50118993820021	1.58919320493529	1.2085893406298	1.48203133987206	1.68830824083185	0.26555915536401	0.768165595277886	0.687390643447566	0.241960595043212	0.456097384071166
"02c19d40dee2d87c409a2e2f7b713d7f"	0.82556920806647	2.50213243045307	1.2758710511196	2.15787141096695	1.30611847791222	3.66290440455269	1.62147240654306	3.84796957194986	3.29435636319328	3.54413341172182
"02ccf6f06e50ce9c5e49ffe2278c9f27"	1.47464783379941	5.21178987020971	2.4260959866512	5.08066293234522	1.80741625950409	5.31840042510793	3.58207300470868	5.42818737949507	5.20762409241359	5.42363606210899
"02db2ad8ae83f16a31add624ea4ad90e"	1.97400602320937	3.14083903732433	2.98095360501618	3.69326084180161	2.54598481579654	3.58376379736461	2.48958037755388	3.49088987236324	3.19541557260981	3.46411834525863
"02f7b0f943947c68160210ebf8af9e7d"	2.43942276385196	3.85950453977206	2.59747909683797	3.50682746098443	3.20429232676951	4.18397499661292	3.02262113537136	3.72283724187945	4.03639736066939	3.89355786566517
"02fdd4f04802f7d7700d7b017e231832"	1.72678351909904	2.54913105909762	3.06228189607084	3.09430893078917	2.46402820400658	2.75211301847845	2.46790290197181	3.05525699658582	2.74138387601084	2.69007792968224
"03202b02066380ba1d7fadbf07ec658a"	3.70701893444172	2.35359754794989	4.38992610156625	3.79036462029581	4.81612156997053	4.00739878308088	5.32634330523391	3.28642770128694	3.49873755802336	3.42973663521431
"03355cd11fa9d7ee1d42bfd508147739"	2.54465003669087	1.29698219907498	2.42191766009017	1.62052896323336	1.8887845046757	1.24786690744402	1.80868413802593	1.5949329430021	1.65137375223432	1.54213068138448
"0381b98525605c48d762e395044ca5b2"	2.2712995824861	3.9805590114471	2.67168060468772	4.11514249122343	2.38471349087024	4.69093190345555	2.93941289592756	4.76460508355477	4.19057537990868	4.59184803915902
"03ce41b70baf38697859cf6c9998b33f"	2.06035810570357	2.78483715301161	2.23189220587045	3.46468472550641	2.18183295390923	4.18825594598542	2.32841578942857	4.45802517571834	4.26890631165795	4.58617377121524
"03dbe23a9e8b7382924fd20ec95338af"	1.94532722832953	1.97647836368341	1.8571205207917	2.25865312649174	3.34869802694281	4.32095760787418	3.18916849959766	4.13274878829435	4.01126218387143	4.1857145046282
"03e263884fc71d9f491555f67c1f630d"	2.27253611063385	3.17177918587515	2.60207319915946	3.43523739041888	2.87003026543823	4.33520270619549	2.55429588715606	4.33121048959039	4.06749053211758	4.43989055514105
"03f86a1233871340db1328f6fc35aff1"	1.48887802489071	3.46854632486137	2.14166018648396	3.73027856207219	2.05581256323007	3.71387075380019	2.39297701615981	3.60590102475664	3.54149344224035	3.83195225736148
"03f8d34575dc20b78b31c3c1177379b9"	3.43473917974538	5.38632146729101	3.84704406732126	5.40504547662217	3.62998131606633	5.33268188437168	3.74310453660768	5.12594786733843	4.87854298739545	5.13565776833335
"040ffbbb2858152fe7b1bfe2be12eebb"	2.34850701867304	3.72996682654755	2.58147136129524	3.66972124937519	3.30780379069418	4.16017574750925	3.01951950079696	3.93814429453501	3.33741519665251	3.89701056046747
"041c4b843dce3deada3d6b1daf849177"	0.390759452245651	3.33685551514643	0.99493500582849	3.024065691545	0.823066055894185	3.22849152548149	2.07509008782214	3.40882739890616	3.59007893013907	3.60961197920315
"04270753eac3e84e5b3f45e5131fd1e7"	2.12518182158164	1.36658642933995	2.11777002999581	3.099896774271	2.77037828101363	2.80133020027161	2.29679878455363	2.27827272810035	2.39158668818491	2.72954655662928
"042f95fd86a3be60cda5e0a13e76be0c"	5.7503872685155	4.3210795233633	6.74569255129084	5.31495784264704	6.77638104601482	5.77420614428535	7.90390148721853	5.60526692313243	6.66721661617845	5.51542269241611
"04356242a8d119e65547c999cf90c0a1"	5.66702996631115	6.94056796605987	6.71899663250964	6.98524562445645	8.84474141752591	9.03238650133904	8.52937760148863	8.6841784920523	8.44455260022459	8.62830749392922
"043b4a5d64c5e405fa8ce60a25bebd8b"	3.38676303930543	3.2327590059768	3.9465245237545	4.6144612896978	3.8786257127994	6.04245062230855	5.03056319459117	6.3553668446928	5.4647726165609	6.02296860174974
"04731e32cb646050ab7f27f284c04106"	2.58938827933855	0.34883831763735	1.37834283133227	1.2043107472168	4.3555139592736	1.86557854251166	3.41033550157318	0	2.85613819708856	1.71054652153513
"0496149b2d1f183353cbf9189b7049e2"	1.71014803174107	2.64688943558642	1.84344068836307	3.17952774360395	1.68267053014832	3.20162386186038	2.38880021972723	2.87776057010096	2.7741814531702	3.09183559328513
