"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"02f7b0f943947c68160210ebf8af9e7d"	4.2093167308395	2.70870545684233	4.39818136583241	2.94015186299597	3.20429232676951	4.18397499661292	3.02262113537136	3.72283724187945	4.03639736066939	3.89355786566517
"02fd2fc743a4623995fcdfc706ba981b"	1.48282652127474	0.111942010031374	0	1.12740898828547	0.548112159912006	2.93431251069669	0.556864578254977	1.63044765401185	2.01610549727724	2.60050656342596
"02fdd4f04802f7d7700d7b017e231832"	3.4616811308114	2.02274657925322	2.01290475867956	2.28787624634145	2.46402820400658	2.75211301847845	2.46790290197181	3.05525699658582	2.74138387601084	2.69007792968224
"03301869149c66370d4f5cfd7c5c79f7"	3.16537369279384	0.932094787291107	3.41411064542382	1.19238492341925	1.54336990222422	3.18540143711743	1.2895036859229	2.8769045924455	2.90227046445955	2.80501767350485
"03355cd11fa9d7ee1d42bfd508147739"	1.79929777631917	2.10060489388527	1.46862512084882	1.97369495136238	1.8887845046757	1.24786690744402	1.80868413802593	1.5949329430021	1.65137375223432	1.54213068138448
"034f5e1b4e4a4747a0048a61ae79aa98"	1.07808799529436	0.454638240510793	0.597499065679988	0.498029700374797	1.6244731151682	1.60327657028856	1.35828575670058	1.33854215808238	1.18820920914646	1.24671730165283
"03734cd02763530410103ffac1802bfc"	0	3.45935559183544	0	1.59102625329302	5.41656735094466	0.768165595277886	3.49135320967974	0	2.72755997506352	0.446412534761481
"0381b98525605c48d762e395044ca5b2"	4.69442115488517	2.55868593697836	4.72456665713492	2.5307946703015	2.38471349087024	4.69093190345555	2.93941289592756	4.76460508355477	4.19057537990868	4.59184803915902
"039544c0752df4a57b038dd86e16eba6"	2.64430766530646	1.26599842076153	2.32764349233482	1.60301895493584	1.83692019781439	2.76080658465263	1.99770965815172	2.44310570402908	2.81326510615933	2.97937034426186
"039c7e0354d3997945bfb6b56867ef87"	3.44276842414089	1.53956916111075	2.42993424162884	0.838545395506943	1.40786601100782	3.33254045373985	1.41896675769385	2.84382228150985	3.0247037188692	3.16506720126978
