"sample_002Cb"	"sample_002Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"
"0202a0b2dfad6a6e5b225afdddaf5729"	2.08489141411041	0.315337608319727	0.704122340236765	0	1.31666943500204	0.628026120155195	1.99931377699057	0.654912929693557	1.67348387478451	0.170047369543551	1.43146823247263	1.34750649427513
"02104476719f02b32307edfdb1e6a0c4"	2.53718603699285	4.09651152931873	3.17381700872827	4.29839688036552	3.21311925402768	4.38673446164927	2.39372178787662	3.59533312097707	3.19758857045837	4.48840118477495	2.97398766382998	3.60435104654829
"02266378f920e88e1dac1ed916c48ff6"	1.80924781934224	3.6823695354997	2.34433683116869	5.16283781463578	3.19842296381586	3.94454169472357	2.25109430542179	3.79833690585627	1.59799954300047	3.69835410254123	2.31248987825557	3.0931719570822
"022b87e073ba519506a6d0d9dac1bba1"	3.94228348376753	6.12454663537292	3.05537080934737	0.614218685254534	0.911628681385166	2.20805724708674	0	0.336543662641743	3.87430240494302	5.93084893993842	4.43651309173676	6.1380629069686
"02556710e6071f6303dfb662fc79f6b6"	1.90647707049695	2.76396300245189	1.64732080803148	2.35350441746356	1.46159383743623	3.11677186753025	0.911628681385166	3.22294848033691	2.75756873486673	3.48572778914607	1.918919881018	3.18651076115562
"026e9b4b119e8cabb3eedd41465c0b04"	0.71528140130383	0.32755617786707	3.81010181295635	0.728643659662414	1.92065915202594	0.347909438902162	2.23066752016323	1.00372708521521	1.54191210713624	0.35155435607742	0.809584422152714	1.53467471027946
"026f6d9d6a5c591d5465aaeddf6222f1"	1.40054161828378	3.3474798279689	1.48674161879161	4.01153594623291	3.3956392533568	4.20082973235053	1.88069270981256	3.92024808711937	1.51769202838815	3.51875180320814	1.13961000133649	2.31861797627094
"027ee5073ec17a7192c3036f2b817f18"	1.99892900811384	2.4975698478136	2.25109430542179	3.69927156855448	3.16992504780121	3.9759564435399	2.45192295261704	3.79258249692223	2.26096787794353	3.0152112703708	2.18534726383398	3.04788383704626
"028a375a3a51f2d5d05b85cf4ef10890"	3.23740909785536	4.69040204974949	3.97445403235906	4.92500597253699	4.37171793211324	4.92558696361488	3.96751371831647	5.0400540218029	3.27824846328038	4.81874884319884	3.01448778418737	4.01813355973665
"02a63d174c8502c109303db99cf1e437"	3.25251270818897	4.49199297720794	4.31709454276416	5.14788251779488	4.79577395041772	4.89790878264618	4.25546188993484	5.2206909256826	3.02518005021495	4.48175076320337	3.06919265749629	4.05356612578096
"02adf979cb3500c39977fffbf7d2a048"	2.41881182115572	3.92123073186604	3.09394504562831	4.14298325519082	3.2149890960607	3.7765941393957	2.59261061155475	3.70641077284415	2.64537594841318	4.29404736983473	2.87649989801452	3.83547078686392
"02bee791e6098edb3b7b59f89457c830"	1.65110754760549	2.46822587942158	3.12383661634784	3.13920558115468	2.65008826452431	4.14920502668652	2.86858911833548	3.33558350920822	1.76696938522083	2.62393709279867	2.09738263347186	2.24520499576062
"02c00510d4deae8d414f84d4af078919"	2.05273051306435	2.99137095878169	1.18312382480985	1.12473749897877	2.00277147832244	1.21408840089829	2.08816973094235	1.50614737385179	1.79552590659342	3.06796923199549	1.84709060369411	2.56371716507383
"02c19d40dee2d87c409a2e2f7b713d7f"	0.949336263936235	2.91456478772127	1.22395188664125	2.88481322673489	2.09060054773135	3.19055140925791	1.03831577968344	2.81731898950284	2.01998183483641	2.85527247773575	1.84715743624226	2.25585578879316
"02ccf6f06e50ce9c5e49ffe2278c9f27"	2.25132813379728	6.17123815965322	2.3131566170054	5.80043218113637	4.88335298284598	5.61106792728153	1.68065880670059	5.47503743090164	3.08289259820358	6.43356671622073	2.39594985156192	4.82883802464889
"02db2ad8ae83f16a31add624ea4ad90e"	2.81773140911092	4.18033372387205	3.91466511198861	4.75169778093757	4.46265483245309	4.79484765493403	3.39098447367196	4.58823076061443	3.10608179340835	4.36328459475602	3.01861373480438	3.86268600677199
"02ed78575eba82d038ec26a744d9b6c5"	5.94498229266489	6.86257820338994	7.46601503248975	7.84321027130245	7.58228339759602	7.4693519653564	7.08805067449697	7.7503685604148	6.83859861086696	7.11756913371752	6.46722833598516	7.05538615816725
"02f7b0f943947c68160210ebf8af9e7d"	2.21732701244217	3.17561096863045	3.2659629435914	4.19411864975801	3.79366281906935	4.46653208120849	3.44354631632015	4.5102448317283	2.25732640907173	3.50634046482814	1.77326862460057	3.08446332336388
"02fdd4f04802f7d7700d7b017e231832"	2.0785868014935	3.09393599031235	2.63642816209566	2.4737375064846	2.968803733139	3.94794412706553	3.25618070398288	3.66544489733939	2.85430239845208	3.34221739211303	2.18070736049717	3.07465781897255
"03202b02066380ba1d7fadbf07ec658a"	4.14037407803617	4.68776795900802	3.02940493236903	2.08862028780934	3.20428623246349	3.47121436856385	3.60986297801793	2.968803733139	4.64804656481508	4.7249257637923	3.98453864334749	4.75089609978191
"03355cd11fa9d7ee1d42bfd508147739"	2.56229974347299	1.94510515600366	3.20523156287477	3.06426422480575	3.29629878702387	2.89278582176373	3.35583274379399	3.40418141095641	2.37790169151809	1.80938176573944	2.3012734733041	2.51369128713066
"03734cd02763530410103ffac1802bfc"	4.25528177563292	0.0331465333877602	4.37816503829865	0.381251647372873	3.22867010394196	0.413517930258873	4.23458470907985	0.865563172165401	3.49190273307507	0	2.54515057169644	0.431283590733985
"0381b98525605c48d762e395044ca5b2"	2.23001507476128	4.40425414311174	2.80904732280919	4.66409027680788	3.44823468194751	4.40475648314741	2.55837259528661	4.28242436350102	2.49736909270935	4.77699829833228	2.53158962626022	3.95975456761856
"039c7e0354d3997945bfb6b56867ef87"	1.92064909508862	3.89737469943057	2.08065979930258	5.01901049729815	3.7914998490676	4.87971109027557	1.89933053980802	4.8158087062998	2.58427376491043	4.27468845307051	2.07141023261498	3.94471732612635
"03ce41b70baf38697859cf6c9998b33f"	2.67862516658003	4.58267191731313	2.53392694620513	5.2881520341837	4.23574319347651	4.61631805692955	2.93706787923566	4.69569723575157	2.33067689739014	4.54437690932523	2.36924557991893	3.83066708253149
"03dbe23a9e8b7382924fd20ec95338af"	1.68944426900776	2.12932350389628	2.86542491661368	3.03399354071072	2.78389124676778	3.13241484196063	2.0755855623498	3.09063232503	1.44052948085132	2.38804034887366	1.58692341684143	2.56666722999519
"03e263884fc71d9f491555f67c1f630d"	2.4710775503953	3.22877027297184	3.29370437163138	3.99469592490613	3.56514516985497	4.48744428869928	3.28774659823481	4.11400083894028	2.9016891956369	3.61256898131233	2.93804547896905	3.27187635110577
"03f86a1233871340db1328f6fc35aff1"	2.17306416199266	3.89096168470966	2.01030794600599	4.23481651335095	3.19186764542098	4.12285394670348	2.52755737116754	4.06632793621526	2.84552907549178	4.15739420991247	2.30747183340492	3.18232473868768
"03f8d34575dc20b78b31c3c1177379b9"	4.44287577246119	6.76275051711579	3.16114704604813	5.01551287267934	4.14414234555692	4.94628096221702	3.20103310609595	5.15085443049302	4.5656379323111	6.68718695641813	4.23888932402214	5.31126006727852
"040ffbbb2858152fe7b1bfe2be12eebb"	1.69196067838758	3.81122211961036	2.6260592189962	3.74720373806313	2.90953888918988	3.97625665509713	2.34126219688012	3.63508893900142	1.48043767104805	3.78600115353904	1.66179473939598	2.81130290016592
"041c4b843dce3deada3d6b1daf849177"	1.62166809476111	3.91710748384072	1.18067265181289	3.64098249092172	2.60853508627049	4.07425150875632	1.23797183125075	4.00583162208694	1.95837855429927	4.2413817071851	1.81947205278596	3.47575538390669
"04270753eac3e84e5b3f45e5131fd1e7"	3.63992686550437	3.73763349858344	1.9552260495629	2.47508524395698	2.2793361178575	2.67906015442189	2.34433683116869	2.68125437831505	3.57975405461114	3.89027306093996	3.1962105368659	3.59003767304052
"042f95fd86a3be60cda5e0a13e76be0c"	5.52834130958754	4.91037318905662	6.93698111317461	5.41328679438627	6.46178025265284	5.5292017600872	7.13387767233765	6.09403585554134	5.96052766112007	4.8054588712209	6.19264827276582	5.13796902667406
"04356242a8d119e65547c999cf90c0a1"	4.17693213133175	4.83641584405829	4.52684028783297	4.39910768848581	4.58342301483601	5.06257390220246	4.24722314887326	4.76992671769185	4.54645279284608	4.38480785813428	5.63151841069114	5.25836127015768
"044669674ac3619381fa49b9e2a04081"	2.03990088735083	3.26481980917435	2.35350441746356	2.27440987316078	1.73008971812088	3.16453232543663	1.37643087649548	2.64555559862794	2.70150046500036	3.33504180267989	2.12392327119296	3.28647196671562
"04731e32cb646050ab7f27f284c04106"	3.63593722202819	0.544991080615638	3.11199489377029	0.0945045724718856	2.97024092769037	0.146929510386918	3.28861759330161	0.157598477570636	3.14165839566746	0.302967896686896	1.91147278883524	2.13194990382348
